id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_peternak,satuan,tahun
1,32,JAWA BARAT,3274,KOTA CIREBON,3274010,Harjamukti,32.74.03,HARJAMUKTI,401,ORANG,2022
2,32,JAWA BARAT,3274,KOTA CIREBON,3274020,Lemah Wungkuk,32.74.02,LEMAH WUNGKUK,78,ORANG,2022
3,32,JAWA BARAT,3274,KOTA CIREBON,3274030,Pekalipan,32.74.04,PEKALIPAN,22,ORANG,2022
4,32,JAWA BARAT,3274,KOTA CIREBON,3274040,Kesambi,32.74.05,KESAMBI,121,ORANG,2022
5,32,JAWA BARAT,3274,KOTA CIREBON,3274050,Kejaksan,32.74.01,KEJAKSAN,66,ORANG,2022
6,32,JAWA BARAT,3274,KOTA CIREBON,3274010,Harjamukti,32.74.03,HARJAMUKTI,401,ORANG,2021
7,32,JAWA BARAT,3274,KOTA CIREBON,3274020,Lemah Wungkuk,32.74.02,LEMAH WUNGKUK,78,ORANG,2021
8,32,JAWA BARAT,3274,KOTA CIREBON,3274030,Pekalipan,32.74.04,PEKALIPAN,22,ORANG,2021
9,32,JAWA BARAT,3274,KOTA CIREBON,3274040,Kesambi,32.74.05,KESAMBI,121,ORANG,2021
10,32,JAWA BARAT,3274,KOTA CIREBON,3274050,Kejaksan,32.74.01,KEJAKSAN,66,ORANG,2021
11,32,JAWA BARAT,3274,KOTA CIREBON,3274010,Harjamukti,32.74.03,HARJAMUKTI,194,ORANG,2020
12,32,JAWA BARAT,3274,KOTA CIREBON,3274020,Lemah Wungkuk,32.74.02,LEMAH WUNGKUK,10,ORANG,2020
13,32,JAWA BARAT,3274,KOTA CIREBON,3274030,Pekalipan,32.74.04,PEKALIPAN,0,ORANG,2020
14,32,JAWA BARAT,3274,KOTA CIREBON,3274040,Kesambi,32.74.05,KESAMBI,22,ORANG,2020
15,32,JAWA BARAT,3274,KOTA CIREBON,3274050,Kejaksan,32.74.01,KEJAKSAN,9,ORANG,2020
